gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Htr5b	0	3	0	0
Ddx18	1393	1290	1646	1215
Dpp10	0	0	7	0
Actr3	12250	13737	16288	14449
Slc35f5	1814	2829	2019	2588
Gpr39	3	0	0	2
Lypd1	0	5	0	0
Nckap5	6	0	0	0
Mgat5	472	466	768	515
Tmem163	50	75	92	53
Acmsd	29	66	1	23
2900009J06Rik	0	5	0	2
Ccnt2	2174	2951	2341	2288
Map3k19	108	50	153	126
Rab3gap1	4520	5064	5384	4706
Zranb3	1809	1698	1922	2465
R3hdm1	4093	3667	5301	4964
Mir128-1	0	0	0	0
Ubxn4	8699	8494	8869	8136
Lct	28	0	0	2
Mcm6	56656	35888	64338	55507
Dars	17627	16329	17989	18062
Cxcr4	3045	3103	3704	2281
Thsd7b	3	8	0	6
Cd55b	0	0	0	0
Cd55	588	1248	549	769
Zp3r	0	0	0	0
C4bp	0	2	0	0
C4bp-ps1	0	0	0	0
Pfkfb2	500	694	545	446
Yod1	443	818	625	436
AA986860	51	49	113	62
Fcamr	0	0	0	3
Pigr	2	0	0	5
Fcmr	22	0	0	0
Il24	0	0	0	0
Il20	0	0	0	0
Il19	0	3	0	0
Il10	13	3	6	3
Mapkapk2	22712	18356	33055	26987
Dyrk3	2203	2770	2311	2376
Eif2d	5622	5651	5818	5510
Rassf5	18564	19937	19318	18172
Ikbke	3485	4719	3147	3758
Srgap2	1451	1961	2161	1738
Fam72a	317	373	276	302
Avpr1b	0	0	0	0
Ctse	18148	41559	17650	19800
Rab7b	156	37	370	279
Slc26a9	5	20	14	14
Pm20d1	9	28	9	0
Slc41a1	2927	3769	3349	3143
Rab29	1405	2160	1572	1988
Nucks1	9720	7469	12551	10197
Slc45a3	62	154	191	139
Elk4	490	728	635	682
Mfsd4	281	381	303	229
Cdk18	2868	2493	2242	1938
Lemd1	0	0	0	0
Mir135b	0	0	0	0
Klhdc8a	6	15	0	12
Nuak2	3814	2815	6031	3871
Tmcc2	1808	2126	1954	2087
Dstyk	1598	1320	1964	1750
Rbbp5	3169	3840	3942	3897
Tmem81	162	157	256	243
Cntn2	0	0	0	0
Nfasc	1	0	0	13
Gm10538	0	0	0	0
Lrrn2	10	1	0	0
Mdm4	1456	2261	2191	1698
Pik3c2b	235	389	262	205
Ppp1r15b	3515	4542	5875	3925
Plekha6	423	440	370	315
Gm19461	0	0	0	0
Golt1a	0	0	0	0
Kiss1	0	0	0	0
Ren2	0	0	0	0
Ren1	0	0	0	0
Etnk2	91	150	28	39
Sox13	1654	1914	1933	1371
Snrpe	860	1053	960	823
Zc3h11a	5500	7727	5209	6377
Zbed6	54	66	65	62
Lax1	5352	5472	3423	3048
Atp2b4	2650	3440	2772	2196
Mir6903	0	0	8	0
Optc	0	10	21	1
Prelp	38	34	1	34
Fmod	0	0	0	0
Btg2	1336	2329	1563	1913
Chit1	2	10	10	3
Chil1	22	142	82	48
Mybph	0	9	2	14
Adora1	11	12	12	8
Myog	36	22	60	46
Ppfia4	193	208	372	338
Tmem183a	4645	4822	5774	4518
4933406M09Rik	0	0	0	0
Cyb5r1	3269	3365	3088	3147
Adipor1	10677	12516	10619	11109
Klhl12	2325	2872	2410	2436
Rabif	4647	4689	4572	4046
Mgat4e	10	1	0	3
Kdm5b	7354	11084	8851	9082
Syt2	15	32	17	1
Ppp1r12b	123	122	110	189
Ube2t	1533	1806	1599	1949
Lgr6	0	0	28	18
Ptprv	349	640	510	413
Ptpn7	21430	20800	25677	20976
Arl8a	3636	4777	3379	3333
Gpr37l1	0	0	0	0
Elf3	0	0	0	0
Rnpep	7931	5499	8387	7955
Timm17a	2100	2029	2149	1679
Lmod1	0	0	0	0
Shisa4	0	3	2	11
Ipo9	10137	9351	12956	10595
Nav1	813	360	1074	628
Mir1231	0	0	0	0
Csrp1	17607	15563	19415	16697
Phlda3	576	454	598	334
Tnni1	42	13	43	9
Lad1	0	0	0	0
Tnnt2	0	0	0	0
Pkp1	0	0	0	0
Igfn1	0	0	0	1
Tmem9	4442	5245	5750	5166
Ascl5	0	0	0	0
Cacna1s	8	8	0	0
Gm15850	0	0	0	0
Kif21b	796	1301	1197	1150
5730559C18Rik	43	21	5	30
Gpr25	90	67	149	128
Camsap2	323	569	476	277
9230116N13Rik	420	597	487	427
Ddx59	1276	1439	1229	1378
Kif14	442	292	390	397
Zfp281	3905	4536	3550	3236
Gm19705	0	1	0	6
Platr22	0	0	0	3
Nr5a2	0	0	0	0
Mir181a-1	0	0	0	0
Mir181b-1	0	0	3	0
Ptprc	12893	18680	14738	15282
Atp6v1g3	0	0	0	0
Nek7	4098	5468	4985	5410
Gm5833	82	92	33	50
Lhx9	0	0	0	0
2310009B15Rik	96	96	99	91
Dennd1b	1140	1493	1089	1059
4930596I21Rik	10	9	5	10
Crb1	0	0	6	2
4933436E23Rik	0	0	0	0
Zbtb41	824	1067	1025	839
Aspm	1619	1175	2170	1594
F13b	0	0	0	0
